museum,museumLabel,coordinate,website
http://www.wikidata.org/entity/Q470385,Amethystwelt Maissau,Point(15.8232 48.5765),https://www.amethystwelt.at/
http://www.wikidata.org/entity/Q491197,Burg Heidenreichstein,Point(15.1217 48.8644),https://www.kinsky-heidenreichstein.at/
http://www.wikidata.org/entity/Q494695,Burg Plankenstein,Point(15.27889 48.02524),
http://www.wikidata.org/entity/Q505873,Wien Museum,Point(16.3731 48.1989),https://www.wienmuseum.at
http://www.wikidata.org/entity/Q506199,Schloss Eckartsau,Point(16.79362 48.14055),
http://www.wikidata.org/entity/Q536582,Schloss Niederweiden,Point(16.9011 48.1979),
http://www.wikidata.org/entity/Q334274,Stift Seckau,Point(14.787456 47.274223),http://www.abtei-seckau.at/
http://www.wikidata.org/entity/Q340128,Schloss Rosenau,Point(15.0636 48.6011),https://www.freimaurermuseum.at/
http://www.wikidata.org/entity/Q356289,Hofburg,Point(11.3944 47.2689),http://www.hofburg-innsbruck.at/623/php/portal.php
http://www.wikidata.org/entity/Q365970,Burg Raabs an der Thaya,Point(15.4901 48.847),
http://www.wikidata.org/entity/Q368261,"Augustinerchorherrenstift Herzogenburg, zeitweise Doppelstift, Österreich",Point(15.69718 48.28679),
http://www.wikidata.org/entity/Q378012,Kloster Mondsee,Point(13.3505 47.8565),
http://www.wikidata.org/entity/Q383813,Klostermarienberg,Point(16.56472222 47.42305556),
http://www.wikidata.org/entity/Q385428,"Benediktinerkloster Altenburg, Österreich",Point(15.59465 48.64361),http://www.stift-altenburg.at
http://www.wikidata.org/entity/Q385567,Stift Rein,Point(15.2851 47.1351),https://www.stift-rein.at
http://www.wikidata.org/entity/Q385745,"Benediktinerkloster Seitenstetten, Österreich",Point(14.6542 48.035),http://www.stift-seitenstetten.at/
http://www.wikidata.org/entity/Q385797,Stift Stams,Point(10.9842 47.2775),
http://www.wikidata.org/entity/Q387667,Mozarthaus Vienna,Point(16.374911111 48.208161111),https://www.mozarthausvienna.at
http://www.wikidata.org/entity/Q387667,Mozarthaus Vienna,Point(16.374911111 48.208161111),https://www.mozarthausvienna.at/en/
http://www.wikidata.org/entity/Q388902,Schallaburg,Point(15.355944444 48.189),https://www.schallaburg.at/en?set_language=en
